id;city;city_ascii;country;admin_name
137;Mianyang;Mianyang;China;Sichuan
138;Sydney;Sydney;Australia;New South Wales
139;Huanglongsi;Huanglongsi;China;Henan
140;Barcelona;Barcelona;Spain;Catalonia
141;Yuncheng;Yuncheng;China;Shanxi
142;Cape Town;Cape Town;South Africa;Western Cape
143;Changsha;Changsha;China;Hunan
144;Jeddah;Jeddah;Saudi Arabia;Makkah al Mukarramah
145;Weinan;Weinan;China;Shaanxi
146;Chenzhou;Chenzhou;China;Hunan
147;Jiangmen;Jiangmen;China;Guangdong
148;Jiujiang;Jiujiang;China;Jiangxi
149;Xinpu;Xinpu;China;Jiangsu
150;Yibin;Yibin;China;Sichuan
151;Huaihua;Huaihua;China;Hunan
152;Yangzhou;Yangzhou;China;Jiangsu
153;Taizhou;Taizhou;China;Jiangsu
154;Kunming;Kunming;China;Yunnan
155;Yiyang;Yiyang;China;Hunan
156;Changchun;Changchun;China;Jilin
157;Lu’an;Lu'an;China;Anhui
158;Jiangguanchi;Jiangguanchi;China;Henan
159;Meizhou;Meizhou;China;Guangdong
160;Ürümqi;Urumqi;China;Xinjiang
161;Suzhou;Suzhou;China;Jiangsu
162;Boston;Boston;United States;Massachusetts
163;?zmir;Izmir;Turkey;?zmir
164;Guigang;Guigang;China;Guangxi
165;Shantou;Shantou;China;Guangdong
166;Kabul;Kabul;Afghanistan;K?bul
167;Xiaoganzhan;Xiaoganzhan;China;Hubei
168;Bamako;Bamako;Mali;Bamako
169;Luzhou;Luzhou;China;Sichuan
170;Hefei;Hefei;China;Anhui
171;Hengshui;Hengshui;China;Hebei
172;Fortaleza;Fortaleza;Brazil;Ceará
173;Anqing;Anqing;China;Anhui
174;Liuzhou;Liuzhou;China;Guangxi
175;Zhangjiakou;Zhangjiakou;China;Hebei
176;Zhaoqing;Zhaoqing;China;Guangdong
177;Shijiazhuang;Shijiazhuang;China;Hebei
178;Ningbo;Ningbo;China;Zhejiang
179;Qiqihar;Qiqihar;China;Heilongjiang
180;Phoenix;Phoenix;United States;Arizona
181;Fuzhou;Fuzhou;China;Jiangxi
182;Chifeng;Chifeng;China;Inner Mongolia
183;Xiaoxita;Xiaoxita;China;Hubei
184;Amman;Amman;Jordan;Al ‘??imah
185;Chuzhou;Chuzhou;China;Anhui
186;Linfen;Linfen;China;Shanxi
187;Qingyuan;Qingyuan;China;Guangdong
188;Xianyang;Xianyang;China;Shaanxi
189;Loudi;Loudi;China;Hunan
190;Binzhou;Binzhou;China;Shandong
191;Zhuzhou;Zhuzhou;China;Hunan
192;Taiyuan;Taiyuan;China;Shanxi
193;Nanning;Nanning;China;Guangxi
194;Harbin;Harbin;China;Heilongjiang
195;Abuja;Abuja;Nigeria;Federal Capital Territory
196;Yokohama;Yokohama;Japan;Kanagawa
197;Suihua;Suihua;China;Heilongjiang
198;Zaozhuang;Zaozhuang;China;Shandong
199;Detroit;Detroit;United States;Michigan
200;Xiamen;Xiamen;China;Fujian
201;Neijiang;Neijiang;China;Sichuan
202;Montréal;Montreal;Canada;Quebec
203;Fuzhou;Fuzhou;China;Fujian
204;Baicheng;Baicheng;China;Guangxi
205;Wuhu;Wuhu;China;Anhui
206;Yulinshi;Yulinshi;China;Shaanxi
207;Medan;Medan;Indonesia;Sumatera Utara
208;Wenzhou;Wenzhou;China;Zhejiang
209;Changzhou;Changzhou;China;Jiangsu
210;Puyang;Puyang;China;Henan
211;Jiaozuo;Jiaozuo;China;Henan
212;Nanchang;Nanchang;China;Jiangxi
213;Seattle;Seattle;United States;Washington
214;Ibadan;Ibadan;Nigeria;Oyo
215;Casablanca;Casablanca;Morocco;Casablanca-Settat
216;Kumasi;Kumasi;Ghana;Ashanti
217;Deyang;Deyang;China;Sichuan
218;Busan;Busan;Korea, South;Busan
219;Hohhot;Hohhot;China;Inner Mongolia
220;Hechi;Hechi;China;Guangxi
221;Algiers;Algiers;Algeria;Alger
222;Tangshan;Tangshan;China;Hebei
223;Shiyan;Shiyan;China;Hubei
224;Lucknow;Lucknow;India;Uttar Pradesh
225;Mashhad;Mashhad;Iran;Khor?s?n-e Ra?av?
226;San Francisco;San Francisco;United States;California
227;Boankra;Boankra;Ghana;Ashanti
228;Dubai;Dubai;United Arab Emirates;Dubayy
229;Anshan;Anshan;China;Liaoning
230;Baojishi;Baojishi;China;Shaanxi
231;Qinzhou;Qinzhou;China;Guangxi
232;Guiyang;Guiyang;China;Guizhou
233;Bengbu;Bengbu;China;Anhui
234;Bazhou;Bazhou;China;Sichuan
235;Suining;Suining;China;Sichuan
236;Wuxi;Wuxi;China;Jiangsu
237;Kotla Qasim Khan;Kotla Qasim Khan;Pakistan;Punjab
238;Hanzhong;Hanzhong;China;Shaanxi
239;Putian;Putian;China;Fujian
240;Zhenjiang;Zhenjiang;China;Jiangsu
241;Guang’an;Guang'an;China;Sichuan
242;Faisalabad;Faisalabad;Pakistan;Punjab
243;Changzhi;Changzhi;China;Shanxi
244;Tongren;Tongren;China;Guizhou
245;Leshan;Leshan;China;Sichuan
246;Santa Cruz de la Sierra;Santa Cruz de la Sierra;Bolivia;Santa Cruz
247;Qinhuangdao;Qinhuangdao;China;Hebei
248;Jaipur;Jaipur;India;R?jasth?n
249;Xinzhou;Xinzhou;China;Shanxi
250;Lanzhou;Lanzhou;China;Gansu
251;Wuzhou;Wuzhou;China;Guangxi
252;Athens;Athens;Greece;Attikí
253;San Diego;San Diego;United States;California
254;Addis Ababa;Addis Ababa;Ethiopia;?d?s ?beba
255;Taichung;Taichung;Taiwan;Taichung
256;Huainan;Huainan;China;Anhui
257;Guatemala City;Guatemala City;Guatemala;Guatemala
258;Kuwait City;Kuwait City;Kuwait;Al ‘??imah
259;Budapest;Budapest;Hungary;Budapest
260;Qincheng;Qincheng;China;Gansu
261;Rizhao;Rizhao;China;Shandong
262;Quezon City;Quezon City;Philippines;Quezon
263;Sanaa;Sanaa;Yemen;Am?nat al ‘??imah
264;Tashkent;Tashkent;Uzbekistan;Toshkent
265;Kyiv;Kyiv;Ukraine;Kyiv, Misto
266;Meishan;Meishan;China;Sichuan
267;Incheon;Incheon;Korea, South;Incheon
268;Birmingham;Birmingham;United Kingdom;Birmingham
269;Ningde;Ningde;China;Fujian
270;Zhongshan;Zhongshan;China;Guangdong
271;Weihai;Weihai;China;Shandong
272;Bursa;Bursa;Turkey;Bursa
273;Minneapolis;Minneapolis;United States;Minnesota
274;Mbuji-Mayi;Mbuji-Mayi;Congo (Kinshasa);Kasaï Oriental
275;Haikou;Haikou;China;Hainan
276;Tongliao;Tongliao;China;Inner Mongolia
277;Chaoyang;Chaoyang;China;Liaoning
278;La Paz;La Paz;Bolivia;La Paz
279;Pyongyang;Pyongyang;Korea, North;P’y?ngyang
280;Tampa;Tampa;United States;Florida
281;Shaoguan;Shaoguan;China;Guangdong
282;Heyuan;Heyuan;China;Guangdong
283;Brasília;Brasilia;Brazil;Distrito Federal
284;Omdurman;Omdurman;Sudan;Khartoum
285;Malang;Malang;Indonesia;Jawa Timur
286;Stuttgart;Stuttgart;Germany;Baden-Württemberg
287;Daqing;Daqing;China;Heilongjiang
288;Rome;Rome;Italy;Lazio
289;Brooklyn;Brooklyn;United States;New York
290;Kaohsiung;Kaohsiung;Taiwan;Kaohsiung
291;Xiangtan;Xiangtan;China;Hunan
292;Longyan;Longyan;China;Fujian
